==== Anchor Angles ====

=== Testing 2220 angles ===
          angle(rad)             std cos             std sin           btrig cos           btrig sin              dd cos              dd sin
      0.000000000000      1.000000000000      0.000000000000      1.000000000000      0.000000000000      1.000000000000     -0.000000000000
      0.002830263652      0.999995994807      0.002830259873      0.999995994807      0.002830259873      0.999995994807      0.002830259873
      0.005660527304      0.999983979258      0.005660497075      0.999983979258      0.005660497075      0.999983979258      0.005660497075
      0.008490790956      0.999963953451      0.008490688934      0.999963953451      0.008490688934      0.999963953451      0.008490688934
      0.011321054608      0.999935917546      0.011320812780      0.999935917546      0.011320812780      0.999935917546      0.011320812780
      0.014151318259      0.999899871767      0.014150845941      0.999899871767      0.014150845941      0.999899871767      0.014150845941
      0.016981581911      0.999855816403      0.016980765748      0.999855816403      0.016980765748      0.999855816403      0.016980765748
      0.019811845563      0.999803751807      0.019810549533      0.999803751807      0.019810549533      0.999803751807      0.019810549533
      0.022642109215      0.999743678396      0.022640174628      0.999743678396      0.022640174628      0.999743678396      0.022640174628
      0.025472372867      0.999675596651      0.025469618366      0.999675596651      0.025469618366      0.999675596651      0.025469618366
      0.028302636519      0.999599507118      0.028298858083      0.999599507118      0.028298858083      0.999599507118      0.028298858083
      0.031132900171      0.999515410406      0.031127871115      0.999515410406      0.031127871115      0.999515410406      0.031127871115
      0.033963163823      0.999423307189      0.033956634801      0.999423307189      0.033956634801      0.999423307189      0.033956634801
      0.036793427474      0.999323198205      0.036785126481      0.999323198205      0.036785126481      0.999323198205      0.036785126481
      0.039623691126      0.999215084254      0.039613323497      0.999215084254      0.039613323497      0.999215084254      0.039613323497
      0.042453954778      0.999098966205      0.042441203196      0.999098966205      0.042441203196      0.999098966205      0.042441203196
      0.045284218430      0.998974844986      0.045268742924      0.998974844986      0.045268742924      0.998974844986      0.045268742924
      0.048114482082      0.998842721591      0.048095920033      0.998842721591      0.048095920033      0.998842721591      0.048095920033
      0.050944745734      0.998702597081      0.050922711874      0.998702597081      0.050922711874      0.998702597081      0.050922711874
      0.053775009386      0.998554472575      0.053749095804      0.998554472575      0.053749095804      0.998554472575      0.053749095804
      0.056605273038      0.998398349262      0.056575049184      0.998398349262      0.056575049184      0.998398349262      0.056575049184
      0.059435536690      0.998234228392      0.059400549375      0.998234228392      0.059400549375      0.998234228392      0.059400549375
      0.062265800341      0.998062111280      0.062225573745      0.998062111280      0.062225573745      0.998062111280      0.062225573745
      0.065096063993      0.997881999303      0.065050099664      0.997881999303      0.065050099664      0.997881999303      0.065050099664
      0.067926327645      0.997693893906      0.067874104507      0.997693893906      0.067874104507      0.997693893906      0.067874104507
      0.070756591297      0.997497796594      0.070697565652      0.997497796594      0.070697565652      0.997497796594      0.070697565652
      0.073586854949      0.997293708940      0.073520460482      0.997293708940      0.073520460482      0.997293708940      0.073520460482
      0.076417118601      0.997081632576      0.076342766385      0.997081632576      0.076342766385      0.997081632576      0.076342766385
      0.079247382253      0.996861569203      0.079164460752      0.996861569203      0.079164460752      0.996861569203      0.079164460752
      0.082077645905      0.996633520583      0.081985520982      0.996633520583      0.081985520982      0.996633520583      0.081985520982
      0.084907909556      0.996397488543      0.084805924476      0.996397488543      0.084805924476      0.996397488543      0.084805924476
      0.087738173208      0.996153474973      0.087625648641      0.996153474973      0.087625648641      0.996153474973      0.087625648641
      0.090568436860      0.995901481828      0.090444670891      0.995901481828      0.090444670891      0.995901481828      0.090444670891
      0.093398700512      0.995641511127      0.093262968645      0.995641511127      0.093262968645      0.995641511127      0.093262968645
      0.096228964164      0.995373564952      0.096080519325      0.995373564952      0.096080519325      0.995373564952      0.096080519325
      0.099059227816      0.995097645450      0.098897300364      0.995097645450      0.098897300364      0.995097645450      0.098897300364
      0.101889491468      0.994813754831      0.101713289197      0.994813754831      0.101713289197      0.994813754831      0.101713289197
      0.104719755120      0.994521895368      0.104528463268      0.994521895368      0.104528463268      0.994521895368      0.104528463268
      0.107550018772      0.994222069400      0.107342800025      0.994222069400      0.107342800025      0.994222069400      0.107342800025
      0.110380282423      0.993914279329      0.110156276924      0.993914279329      0.110156276924      0.993914279329      0.110156276924
      0.113210546075      0.993598527620      0.112968871429      0.993598527620      0.112968871429      0.993598527620      0.112968871429
      0.116040809727      0.993274816802      0.115780561010      0.993274816802      0.115780561010      0.993274816802      0.115780561010
      0.118871073379      0.992943149468      0.118591323143      0.992943149468      0.118591323143      0.992943149468      0.118591323143
      0.121701337031      0.992603528275      0.121401135315      0.992603528275      0.121401135315      0.992603528275      0.121401135315
      0.124531600683      0.992255955944      0.124209975016      0.992255955944      0.124209975016      0.992255955944      0.124209975016
      0.127361864335      0.991900435259      0.127017819747      0.991900435259      0.127017819747      0.991900435259      0.127017819747
      0.130192127987      0.991536969067      0.129824647016      0.991536969067      0.129824647016      0.991536969067      0.129824647016
      0.133022391638      0.991165560281      0.132630434340      0.991165560281      0.132630434340      0.991165560281      0.132630434340
      0.135852655290      0.990786211875      0.135435159242      0.990786211875      0.135435159242      0.990786211875      0.135435159242
      0.138682918942      0.990398926888      0.138238799257      0.990398926888      0.138238799257      0.990398926888      0.138238799257
      0.141513182594      0.990003708422      0.141041331925      0.990003708422      0.141041331925      0.990003708422      0.141041331925
      0.144343446246      0.989600559643      0.143842734797      0.989600559643      0.143842734797      0.989600559643      0.143842734797
      0.147173709898      0.989189483781      0.146642985434      0.989189483781      0.146642985434      0.989189483781      0.146642985434
      0.150003973550      0.988770484128      0.149442061404      0.988770484128      0.149442061404      0.988770484128      0.149442061404
